Alignment ID,Semantic Domain,Source A IDs,Source B IDs,Source A Concept,Source B Concept / Need,Proposed Common Concept,Alignment Hypothesis,Proposed Scope,Master Candidate?,Common Semantics / Attributes Candidate,Contextual Semantics to Preserve,View / Viewpoint Candidate,Ambiguity to Resolve,V0 Rationale,Decision,Status,Demo Candidate,Source Process A,Source Process B,Expected Concrete Demonstration
AL-001,Process Structure,AV-SW-ST-013,COCB-AR-010,PAF_Process,SIPOC Process,Process,SPECIALIZATION,CORE,YES,Stable process identity; name; description?,Avionic purpose/reference/processOwner; CoC B SIPOC use,SIPOC,Is SIPOC Process the same business process identity or a representation role?,"Strong candidate for common identity, but semantics must be checked on real models.",,PROPOSED,YES,,,Show same Process Master/context with CoC-specific profile semantics and SIPOC representation.
AL-002,Process Structure,AV-SW-ST-012; AV-SW-ST-014,COCB-AR-011; COCB-AR-012; COCB-AR-013,PAF_SubProcess / PAF_Group / Activity,Macro activities / Activities / tasks,Activity hierarchy,RELATED,BPMN / CORE?,UNRESOLVED,Hierarchy and behavioral decomposition,PAF Group/SubProcess semantics; CoC B macro/activity/task terminology,,What maps natively to BPMN Task/SubProcess/Process versus contextual levels?,Avoid creating a parallel hierarchy before inspecting actual BPMN structures.,,UNRESOLVED,YES,,,Compare real decomposition levels and show what remains native BPMN versus profile terminology.
AL-003,Responsibility,AV-SW-ST-010; AV-SW-REL-002; AV-SW-ST-013,COCB-AR-006; COCB-AR-007; COCB-AR-018,PAF_Role; RAVI; processOwner,Roles; Responsibilities; Activity Owner/validator,Responsibility Assignment,RELATED,CORE?,NO,Role-to-object responsibility relation,RAVI qualifiers; processOwner; RASCI/Owner/Validator qualifiers,RASCI / RAVI,Owner = Accountable? Validator = V? What objects can assignments target?,Likely shared relation semantics with contextual qualification; not yet proven.,,PROPOSED,YES,,,Show common responsibility relation while preserving RAVI and RASCI views/labels.
AL-004,Information & Deliverables,AV-SW-ST-001,COCB-AR-009; COCB-AR-014,PAF_Deliverable,SIPOC Inputs / Outputs,Information / Deliverable,RELATED,CORE?,YES,Stable information/deliverable identity?,isProcessIO; input/output role; domain; template,SIPOC,"Are Input and Output master types, roles of an information object, or associations?",Real process data associations should decide the alignment.,,UNRESOLVED,YES,,,Use actual process inputs/outputs to show master identity versus contextual input/output role.
AL-005,Documents,AV-SW-ST-002; AV-SW-REL-001,COCB-AR-001; COCB-AR-002; COCB-AR-003,PAF_Document; reference-document relations,Document links / best practices / references,Document Reference,SPECIALIZATION,CORE?,YES,Reference identity; URI/link; description; relation to process/activity,Document category: mandatory/supportive/best practice/GPAL/BMS,Document/knowledge view,"Are categories properties, relation qualifiers, or document types?","Both CoCs need external/document references, but categories differ.",,PROPOSED,YES,,,Show one common reference mechanism with CoC-specific categories and hyperlinks.
AL-006,Knowledge,AV-SW-ST-003,COCB-AR-004,PAF_Domain documentation / linked domain knowledge,Dictionary (glossary and definition),Term / Definition,UNRESOLVED,CoC / CORE?,YES?,Term; definition; stable identity?,Domain-specific vocabulary,,Does a glossary require a Core master concept or remain profile/repository knowledge?,Second CoC explicitly requires dictionary; Avionic profile has documentation but no clear equivalent concept.,,UNRESOLVED,YES,,,Demonstrate domain vocabulary attached to model without forcing it into all CoCs if real examples support it.
AL-007,Lifecycle / Project,AV-SW-ST-005; AV-SW-REL-003,COCB-AR-005,PAF_Milestone; Deliverable↔Milestone datapacks,Project Milestones,Milestone,IDENTICAL?,CORE?,YES,Milestone identity; description; links to activities/deliverables,domain; datapack conventions,,Is milestone semantics identical and what is its relation to activity completion/deliverables?,"Clear lexical convergence, but exact semantics and lifecycle scope need validation.",,PROPOSED,YES,,,Show same Milestone concept connected differently according to CoC practices.
AL-008,Purpose & Knowledge,AV-SW-ST-012; AV-SW-ST-013; AV-SW-ST-014,COCB-AR-017,purpose,Rationale and reason why for activities,Purpose / Rationale,RELATED,CORE?,NO,Statement explaining intent/why,Avionic purpose scope includes process/group/subprocess; CoC B explicitly activity rationale,,Are purpose and rationale identical or related but distinct?,Likely common concern; naming and scope require expert validation.,,PROPOSED,YES,,,Display source wording from both real processes and test a shared semantic property versus specialization.
AL-009,Information State,AV-SW-AT-001,COCB-AR-021,Deliverable state,Status of documents,Artifact State / Status,RELATED,BPMN / CoC?,NO,Formal state/status vocabulary?,Avionic updated/validated/approved/released; CoC B mandatory/supportive may be classification rather than lifecycle state,,"Does 'mandatory/supportive' describe status, criticality/classification, or lifecycle state?",Important false-friend candidate: similar word 'status' may hide different semantics.,,UNRESOLVED,YES,,,Show why semantic alignment prevents accidental unification of different status meanings.
AL-010,KID,AV-SW-ST-001,COCB-AR-020,isKID,Identification of KIDs,KID Classification,IDENTICAL?,CoC / Subdomain?,NO,KID identification/classification,Potential KID dictionary/domain rules,,"Is KID enterprise-common, shared by these CoCs only, or Avionic/subdomain-specific?","Strong cross-source convergence, but scope of applicability must be validated.",,PROPOSED,YES,,,Show common or shared classification without forcing KID semantics into unrelated CoCs.
AL-011,Traceability,AV-SW-ST-009; AV-SW-REL-004,COCB-FN-006; COCB-AR-019,PAF_Requirement traceability; process references,Traceability vs BMS/other processes; parent processes,Traceability Relation,RELATED,CORE?,NO,Typed reference/traceability relation between semantic objects,Requirement traceability; BMS/E2E parent relation,,"Are parent-process links hierarchy, traceability, derivation, governance, or several relations?",A generic relation mechanism may be common while relation types remain contextual.,,PROPOSED,YES,,,Show typed cross-process links and unresolved→resolved behavior when referenced process is imported later.
AL-012,Context,AV-SW-ST-003,COCB-AR-023; COCB-AR-024,PAF_Domain,Project phase; adjustment estimation,Contextualization,RELATED,CoC + Subdomain,NO,Context association,Domain; project phase; tailoring/adjustment rules,Context-specific views,"Which contexts are semantic objects, profile properties, or method rules?",Good case to demonstrate contextualization without Core inflation.,,PROPOSED,YES,,,Show same core process with project/domain-specific contextual properties only where applicable.
AL-013,People / Competence,AV-SW-ST-008; AV-SW-ST-010,COCB-AR-006; COCB-AR-025,PAF_People / PAF_Role,Roles / Competences,Person / Role / Competence,RELATED,CORE? / CoC?,YES?,Person and Role identities; role assignment,LDAP/contact details; competence taxonomy,,"Is competence a property of Person, Role, assignment, or separate concept?",Person/Role separation appears useful; competence semantics remain open.,,UNRESOLVED,YES,,,Use real assigned roles/people to show common identity and contextual competence data if present.
AL-014,Platform Capability,AV-SW-ST-002; AV-SW-ST-011,COCB-FN-003,URL on Document/Template,Hyperlinks to other apps/areas,External Link,RELATED,Platform capability / CORE?,NO,URI/reference target,Source-specific link categories,,Should hyperlink be generic repository capability with semantic relation types?,Need should not automatically become a model class/property.,,PROPOSED,YES,,,Click from a real process element to external repository/document while preserving semantic relation.
AL-015,Publication / AI,AV-SW-ST-003,COCB-FN-001; COCB-FN-004; COCB-FN-005,Documentation-rich profile,Readability; document generation; AI readability,Publication / Consumption,RELATED,Platform capability / View,NO,Structured semantic access; descriptions,Publication configuration and CoC-specific views,Viewer / AI / document views,Which information must be model semantics versus generated representation?,Separates semantic model from consumption channels.,,PROPOSED,YES,,,Generate/read the same process through human view and machine-readable structured representation.
AL-016,Governance,AV-SW-ST-003; AV-SW-ST-015,COCB-FN-002; COCB-FN-008,Domain/change information,"Modification, configuration management, autonomy",Model Governance,RELATED,Method / Rule / Platform capability,NO,Ownership/change/audit context?,CoC autonomy rules; change process,,What belongs to semantic model versus repository permissions/configuration management?,Critical to avoid encoding access-control needs as business semantics.,,UNRESOLVED,YES,,,Illustrate that CoC autonomy can differ without duplicating the common semantic model.
