Source ID,Input Type,Cluster,Source Need / Artefact,Priority,Source Wording / Meaning,Notes
COCB-FN-001,Function,,Model Access and readability,P1 - Mandatory,Model Access and readability,
COCB-FN-002,Function,,Model Modification and configuration Management,P1 - Mandatory,Model Modification and configuration Management,
COCB-FN-003,Function,,hyperlinks to other apps/areas,P1 - Mandatory,"hyperlinks to other apps/areas (document repositories, storage areas, other processes, ...)",
COCB-FN-004,Function,,Automatic Documents Generation,P2 - Recommended,Automatic Documents Generation,
COCB-FN-005,Function,,Model readibility by AI,P2 - Recommended,Model readibility by AI (document assistant as DAISEI),
COCB-FN-006,Function,,Support to Traceability vs. BMS and other Processes,P3 - Nice to Have,Support to Traceability vs. BMS and other Processes,
COCB-FN-007,Function,,Support to Process Adherence,P3 - Nice to Have,Support to Process Adherence,
COCB-FN-008,Function,,Autonomy on model modification / maintenance / update,P1 - Mandatory,"Have the right level of autonomy on the model modification, maintenance, update, ...",
COCB-AR-001,Artefact,Documents,Link to documents (mandatory and supportive),P1 - Mandatory,Link to documents (mandatory and supportive),
COCB-AR-002,Artefact,Documents,Link to best practices & recommandations,P1 - Mandatory,Link to best practices & recommandations,
COCB-AR-003,Artefact,Documents,Documents références,P1 - Mandatory,"Documents références (GPAL, BMS or other)",
COCB-AR-004,Artefact,Information,Dictionary,P1 - Mandatory,Dictionary (glossary and definition),
COCB-AR-005,Artefact,Project,Milestones,P2 - Recommended,Milestones for which an activity is done and a deliverables produced,
COCB-AR-006,Artefact,RASCI,Roles,P1 - Mandatory,Roles,
COCB-AR-007,Artefact,RASCI,Responsibilities,P1 - Mandatory,Responsibilities,
COCB-AR-008,Artefact,SIPOC,Supplier,P1 - Mandatory,Supplier,
COCB-AR-009,Artefact,SIPOC,Inputs,P1 - Mandatory,Inputs,
COCB-AR-010,Artefact,SIPOC,Process,P1 - Mandatory,Process,
COCB-AR-011,Artefact,SIPOC,Macro activities,P1 - Mandatory,Macro activities,
COCB-AR-012,Artefact,SIPOC,Activities,P1 - Mandatory,Activities,
COCB-AR-013,Artefact,SIPOC,tasks,P1 - Mandatory,tasks,
COCB-AR-014,Artefact,SIPOC,Outputs,P1 - Mandatory,Outputs,
COCB-AR-015,Artefact,SIPOC,Customer,P1 - Mandatory,Customer,
COCB-AR-016,Artefact,SIPOC,Activities Acceptance Criterias,P1 - Mandatory,Activities Acceptance Criterias,
COCB-AR-017,Artefact,SIPOC,Rationale and reason why for activities,P1 - Mandatory,Rationale and reason why for activities,
COCB-AR-018,Artefact,SIPOC,"Activity Owner, valider, ...",P1 - Mandatory,"Activity Owner, valider, ...",
COCB-AR-019,Artefact,BMS,Links to parent processes,P2 - Recommended,Links to parent processes (BMS or E2E TSE process),
COCB-AR-020,Artefact,Documents,Identification of KIDs,P2 - Recommended,Identification of KIDs,
COCB-AR-021,Artefact,Documents,Status of documents,P2 - Recommended,Status of documents (mandatory or supportive),
COCB-AR-022,Artefact,Information,Recommended Tools for activities,P2 - Recommended,Recommended Tools for activities,
COCB-AR-023,Artefact,Project,Associated Project phase,P2 - Recommended,Associated Project phase (for document and activités),
COCB-AR-024,Artefact,Information,Adjustment estimation,P3 - Nice to Have,For each activity/deliverable: adjustable or mandatory; small/medium/big project adjustment; preliminary analysis needed,
COCB-AR-025,Artefact,RASCI,Competences,P3 - Nice to Have,Competences,
COCB-AR-026,Artefact,SIPOC,Time needed for activities/tasks,P3 - Nice to Have,Time needed for activities/tasks,
