Source ID,Input Type,Source Concept,Base / Relation,Source Property / Detail,Source Usage / Meaning,Source Context,Notes
AV-SW-ST-001,Stereotype,PAF_Deliverable,Data Store,domain; isKID; isProcessIO; template,Deliverable; Alias; Notes/full description; DataStoreRef; documentation/short description; template link,Avionic / Software,BPMN state also used; see AV-SW-AT-001
AV-SW-ST-002,Stereotype,PAF_Document,Data Object,URL; domain,Document; Notes/description; dataObjectRef; documentation/short description,Avionic / Software,
AV-SW-ST-003,Stereotype,PAF_Domain,Class,displayOrder; documentation; isPrimary; versionData; links to domain artefacts,Domain/package contextualization and navigation,Avionic / Software,"Links: deliverables, roles, processes, lifecycle, news, documents, intermediates, messages, milestones, peoples, requirements, signals, templates, partners"
AV-SW-ST-004,Stereotype,PAF_Intermediate,Data Object,domain,Intermediate information object; documentation/short description,Avionic / Software,
AV-SW-ST-005,Stereotype,PAF_Milestone,Class,documentation; domain,Milestone; Alias; Notes; documentation,Avionic / Software,
AV-SW-ST-006,Stereotype,PAF_Outcome,Requirement,comments; documentation; domain,Outcome; Notes/full description; documentation/short description,Avionic / Software,
AV-SW-ST-007,Stereotype,PAF_Partner,Pool,,Partner concept,Avionic / Software,Details to confirm from XMI
AV-SW-ST-008,Stereotype,PAF_People,Actor,documentation; domain; email; firstName; lastName; ldapUID,Person/people information,Avionic / Software,Detailed usage to confirm from XMI
AV-SW-ST-009,Stereotype,PAF_Requirement,Requirement,comments; documentation; domain,Requirement; Alias/ID; Notes/text,Avionic / Software,
AV-SW-ST-010,Stereotype,PAF_Role,Actor,documentation; domain,Role; Notes/full description,Avionic / Software,
AV-SW-ST-011,Stereotype,PAF_Template,Data Object,URL; domain,Template; documentation; URL,Avionic / Software,
AV-SW-ST-012,Stereotype,PAF_SubProcess,Activity,purpose; reference,SubProcess; Alias; Notes; documentation; purpose/memo,Avionic / Software,
AV-SW-ST-013,Stereotype,PAF_Process,Activity,purpose; reference; processOwner,Process; Alias; Notes; documentation; purpose/memo,Avionic / Software,processOwner is tagged value
AV-SW-ST-014,Stereotype,PAF_Group,BusinessProcess,purpose; reference; processOwner,Process group; Alias; Notes; documentation; purpose/memo,Avionic / Software,processOwner is tagged value
AV-SW-ST-015,Stereotype,PAF_Change,Change,creationDate; domain,Change record; Notes; creationDate; domain,Avionic / Software,
AV-SW-BPMN-001,Native BPMN usage,Message,bpmn2,documentation,Message; Notes/description; documentation/short description,Avionic / Software,
AV-SW-BPMN-002,Native BPMN usage,Signal,bpmn2,documentation,Signal; Alias; Notes; documentation,Avionic / Software,
AV-SW-BPMN-003,Native BPMN usage,Activity,bpmn2,documentation,Activity; Alias; Notes; documentation,Avionic / Software,
AV-SW-BPMN-004,Native BPMN usage,Event,bpmn2,messageRef; signalRef; escalationRef candidate,Event references Message/Signal; escalationRef noted as expected native reference,Avionic / Software,
AV-SW-BPMN-005,Native BPMN usage,Gateway,bpmn2,documentation; dataObjectRef; URL; domain,Gateway usage,Avionic / Software,Some properties may be contextual; verify in XMI
AV-SW-BPMN-006,Native BPMN usage,Lane,bpmn2,partitionElementRef,Lane links to PAF_Role,Avionic / Software,
AV-SW-BPMN-007,Native BPMN usage,Pool,bpmn2,processRef; partnerRole,White-box processRef to PAF_Group/Process/SubProcess; black-box may link partnerRole to PAF_Partner,Avionic / Software,
AV-SW-AT-001,Attribute usage,PAF_Deliverable,BPMN state,updated; validated; approved; released; content added,Notable state after transformation; 'updated' may be derivable; formal states may carry business semantics,Avionic / Software,Needs semantic clarification
AV-SW-REL-001,Relation Matrix,Activity / SubProcess / Process / Group,↔ PAF_Document,Reference documents,Avionic / Software,
AV-SW-REL-002,Relation Matrix,PAF_Role,↔ PAF_Deliverable,RAVI qualified relation R/A/V/I,Avionic / Software,
AV-SW-REL-003,Relation Matrix,PAF_Deliverable,↔ PAF_Milestone,Datapacks,Avionic / Software,
AV-SW-REL-004,Relation Matrix,Activity / SubProcess / Process / Group,↔ PAF_Requirement,Traceability,Avionic / Software,
